model,bit_width,method,unit,correct_to_wrong,wrong_to_correct,discordant_pairs,minimum_two_sided_exact_p,log2_minimum_exact_p,raw_0_05_attainable,first_bh_cutoff_attainable,observed_exact_p,observed_fdr_p
ResNet-18,4,codebook,stack3_block0_2_conv/kernel,52,38,90,1.6155871338926322e-27,-89,True,True,0.1702423950460736,0.2234431434979716
ResNet-18,4,codebook,stack3_block1_1_conv/kernel,51,35,86,2.5849394142282115e-26,-85,True,True,0.1052253512569439,0.1473154917597215
ResNet-18,4,codebook,stack3_block1_2_conv/kernel,23,32,55,5.551115123125783e-17,-54,True,True,0.2806097176983541,0.3273780039814131
ResNet-18,4,codebook,cifar10_predictions/kernel,68,57,125,4.70197740328915e-38,-124,True,True,0.3711606948508095,0.4102302416772105
ResNet-18,8,ptq,conv1_conv/kernel,162,109,271,5.271098971615262e-82,-270,True,True,0.0015369645660392,0.0322762558868238
ResNet-18,8,ptq,stack0_block0_1_conv/kernel,71,76,147,1.1210387714598537e-44,-146,True,True,0.7415919424461606,1.0
ResNet-18,8,ptq,stack0_block0_2_conv/kernel,23,31,54,1.1102230246251565e-16,-53,True,True,0.3408909412200971,1.0
ResNet-18,8,ptq,stack0_block1_1_conv/kernel,35,41,76,2.6469779601696886e-23,-75,True,True,0.566573442398685,1.0
ResNet-18,8,ptq,stack0_block1_2_conv/kernel,18,13,31,9.313225746154785e-10,-30,True,True,0.4731296598911285,1.0
ResNet-18,8,ptq,stack1_block0_1_conv/kernel,13,32,45,5.684341886080802e-14,-44,True,True,0.0066088228422813,0.0693926398439543
ResNet-18,8,ptq,stack1_block0_0_conv/kernel,14,13,27,1.4901161193847656e-08,-26,True,True,1.0,1.0
ResNet-18,8,ptq,stack1_block0_2_conv/kernel,7,16,23,2.384185791015625e-07,-22,True,True,0.0931396484375,0.488983154296875
ResNet-18,8,ptq,stack1_block1_1_conv/kernel,33,18,51,8.881784197001252e-16,-50,True,True,0.0488738923182703,0.3421172462278923
ResNet-18,8,ptq,stack1_block1_2_conv/kernel,8,12,20,1.9073486328125e-06,-19,True,True,0.5034446716308594,1.0
ResNet-18,8,ptq,stack2_block0_1_conv/kernel,10,11,21,9.5367431640625e-07,-20,True,True,1.0,1.0
ResNet-18,8,ptq,stack2_block0_0_conv/kernel,3,5,8,0.0078125,-7,True,False,0.7265625,1.0
ResNet-18,8,ptq,stack2_block0_2_conv/kernel,9,8,17,1.52587890625e-05,-16,True,True,1.0,1.0
ResNet-18,8,ptq,stack2_block1_1_conv/kernel,12,11,23,2.384185791015625e-07,-22,True,True,1.0,1.0
ResNet-18,8,ptq,stack2_block1_2_conv/kernel,6,6,12,0.00048828125,-11,True,True,1.0,1.0
ResNet-18,8,ptq,stack3_block0_1_conv/kernel,4,5,9,0.00390625,-8,True,False,1.0,1.0
ResNet-18,8,ptq,stack3_block0_0_conv/kernel,3,6,9,0.00390625,-8,True,False,0.5078125,1.0
ResNet-18,8,ptq,stack3_block0_2_conv/kernel,3,6,9,0.00390625,-8,True,False,0.5078125,1.0
ResNet-18,8,ptq,stack3_block1_1_conv/kernel,3,3,6,0.03125,-5,True,False,1.0,1.0
ResNet-18,8,ptq,stack3_block1_2_conv/kernel,5,5,10,0.001953125,-9,True,True,1.0,1.0
ResNet-18,8,ptq,cifar10_predictions/kernel,6,6,12,0.00048828125,-11,True,True,1.0,1.0
ResNet-18,8,codebook,conv1_conv/kernel,135,83,218,4.7477838728798994e-66,-217,True,True,0.0005226312011749,0.0109752552246743
ResNet-18,8,codebook,stack0_block0_1_conv/kernel,29,38,67,1.3552527156068805e-20,-66,True,True,0.3284320626971897,0.862134164580123
ResNet-18,8,codebook,stack0_block0_2_conv/kernel,14,20,34,1.1641532182693481e-10,-33,True,True,0.391528305131942,0.8650568181818182
ResNet-18,8,codebook,stack0_block1_1_conv/kernel,26,30,56,2.7755575615628914e-17,-55,True,True,0.6888797607233395,0.95361328125
ResNet-18,8,codebook,stack0_block1_2_conv/kernel,5,7,12,0.00048828125,-11,True,True,0.7744140625,0.9566291360294118
ResNet-18,8,codebook,stack1_block0_1_conv/kernel,13,21,34,1.1641532182693481e-10,-33,True,True,0.2294810130260884,0.6884430390782654
ResNet-18,8,codebook,stack1_block0_0_conv/kernel,8,16,24,1.1920928955078125e-07,-23,True,True,0.1515896320343017,0.6884430390782654
